Contacting-Position-Sensor 123456
Capacitive-Non-contacting-Position-Sensor 234567
Ultrasonic-Non-contacting-Position-Sensor 345678
Proximity-Non-contacting-Position-Sensor 456789
Euro-X-Hall-Effect-Rotary-Position-Sensor 56789A
CMRS-Rotary-Position-Sensor 6789AB
CMRT-Rotary-Position-Sensor 789ABC
VLP-Linear-Position-Sensor 89ABCD
ELPM-Linear-Position-Sensor 9ABCDE
Pressure-Transducer ABCDEF
Flow-and-Level-Switch BCDEF0
Photo-Optic-Sensor  CDEF01
Strain-gauge DEF012
Level-sensor EF0123
Electric-current-sensor F01234
Humidity-sensor  543210
Proximity-sensor  43210F
Heat-sensor  3210FE
Flow-sensor  210FED
Fluid-velocity-sensor  10FEDC
Active-infrared-sensor FEDCBA
Passive-infrared-sensor EDCBA9
Limit-Switch DCBA98
Force-Sensor CBA987
Vibration-Sensor BA9876
Piezo-Sensor  A98765
Fluid-Property-Sensor  987654
Humidity-Sensor 876543
Pressure-Switch  765432
VLPSC-Linear-Position-Sensor 654321
VXP-Linear-Position-Sensor 776543
CMRK-Rotary-Position-Sensors 887654
Euro–XPD-Rotary-Position-Sensor 998765
Euro-XP-Puck-Rotary-Position-Sensor 110987
Laser-Non-contacting-Position-Sensor 221098
Eddy-Current-Non-contacting-Position-Sensor 332109
Hall-effect-non-contacting-position-sensor 443210
